지역명,연도,월,전용면적,평당분양가격
서울,2015.0,10.0,모든면적,19275.3
서울,2015.0,10.0,60㎡,18651.6
서울,2015.0,10.0,60㎡~85㎡,19410.6
서울,2015.0,10.0,85㎡~102㎡,18879.3
서울,2015.0,10.0,102㎡~,19400.7
인천,2015.0,10.0,모든면적,10437.9
인천,2015.0,10.0,60㎡,11510.4
인천,2015.0,10.0,60㎡~85㎡,10292.699999999999
인천,2015.0,10.0,85㎡~102㎡,11698.5
인천,2015.0,10.0,102㎡~,11246.4
경기,2015.0,10.0,모든면적,10355.4
경기,2015.0,10.0,60㎡,10315.8
경기,2015.0,10.0,60㎡~85㎡,10688.699999999999
경기,2015.0,10.0,85㎡~102㎡,11536.8
경기,2015.0,10.0,102㎡~,12144.0
부산,2015.0,10.0,모든면적,10269.599999999999
부산,2015.0,10.0,60㎡,9735.0
부산,2015.0,10.0,60㎡~85㎡,9896.699999999999
부산,2015.0,10.0,85㎡~102㎡,9758.1
부산,2015.0,10.0,102㎡~,11550.0
대구,2015.0,10.0,모든면적,8850.6
대구,2015.0,10.0,60㎡,8626.199999999999
대구,2015.0,10.0,60㎡~85㎡,8896.8
대구,2015.0,10.0,85㎡~102㎡,8438.1
대구,2015.0,10.0,102㎡~,8573.4
광주,2015.0,10.0,모든면적,7986.0
광주,2015.0,10.0,60㎡,7434.9
광주,2015.0,10.0,60㎡~85㎡,8048.7
대전,2015.0,10.0,모든면적,8098.2
대전,2015.0,10.0,60㎡,8530.5
대전,2015.0,10.0,60㎡~85㎡,8012.4
대전,2015.0,10.0,85㎡~102㎡,8121.299999999999
울산,2015.0,10.0,모든면적,10074.9
울산,2015.0,10.0,60㎡,7992.599999999999
울산,2015.0,10.0,60㎡~85㎡,10032.0
울산,2015.0,10.0,85㎡~102㎡,9738.3
울산,2015.0,10.0,102㎡~,8877.0
세종,2015.0,10.0,모든면적,8718.6
세종,2015.0,10.0,60㎡,8487.6
세종,2015.0,10.0,60㎡~85㎡,8768.1
세종,2015.0,10.0,85㎡~102㎡,8725.199999999999
세종,2015.0,10.0,102㎡~,8883.6
강원,2015.0,10.0,모든면적,7151.099999999999
강원,2015.0,10.0,60㎡,7543.799999999999
강원,2015.0,10.0,60㎡~85㎡,7299.599999999999
강원,2015.0,10.0,85㎡~102㎡,6801.299999999999
강원,2015.0,10.0,102㎡~,7164.299999999999
충북,2015.0,10.0,모든면적,6705.599999999999
충북,2015.0,10.0,60㎡,6332.7
충북,2015.0,10.0,60㎡~85㎡,6708.9
충북,2015.0,10.0,85㎡~102㎡,6936.599999999999
충북,2015.0,10.0,102㎡~,7817.7
충남,2015.0,10.0,모든면적,6926.7
충남,2015.0,10.0,60㎡,7279.799999999999
충남,2015.0,10.0,60㎡~85㎡,6933.299999999999
충남,2015.0,10.0,85㎡~102㎡,9051.9
충남,2015.0,10.0,102㎡~,8058.599999999999
